,lat,lon
249,"-11°18'43.000""","-41°50'22.000"""
250,"-20°16'32.800""","-43°53'53.600"""
251,"-20°07'53.460""","-44°22'30.040"""
252,"-16°05'54.110""","-56°34'06.880"""
253,"-11°27'48.021""","-58°56'18.673"""
254,"-20°09'33.507""","-43°28'09.519"""
255,"-09°47'16.100""","-63°34'30.600"""
256,"-19°56'04.000""","-44°28'15.000"""
257,"-14°11'20.792""","-39°41'49.707"""
258,"-20°12'40.649""","-43°52'54.287"""
259,"-01°40'11.000""","-56°26'24.300"""
260,"-15°27'59.450""","-56°27'39.225"""
261,"-21°49'52.000""","-41°01'14.000"""
262,"-20°25'31.000""","-43°55'40.300"""
263,"-06°34'49.700""","-51°04'37.500"""
264,"-18°55'14.984""","-43°24'23.663"""
265,"-09°27'51.000""","-63°04'28.000"""
266,"-20°10'28.800""","-43°58'33.600"""
267,"-09°52'52.640""","-39°52'01.811"""
268,"-05°12'32.100""","-41°42'27.600"""
269,"-19°46'37.840""","-43°11'21.930"""
270,"-17°10'56.400""","-46°53'55.800"""
271,"-24°41'30.000""","-48°07'30.000"""
272,"-20°07'21.800""","-44°18'44.400"""
273,"-12°57'35.100""","-60°17'15.500"""
274,"-19°57'29.710""","-43°38'05.312"""
275,"-09°52'41.556""","-39°52'12.241"""
276,"-22°44'52.600""","-46°52'18.000"""
277,"-20°06'57.900""","-44°22'16.500"""
278,"-06°27'17.700""","-50°13'43.500"""
279,"-06°25'16.985""","-50°02'09.927"""
280,"-23°21'21.800""","-46°16'28.900"""
281,"-18°22'47.300""","-46°55'58.200"""
282,"-20°18'06.730""","-43°55'22.890"""
283,"-06°33'42.700""","-51°10'16.100"""
284,"-09°37'10.790""","-63°03'58.220"""
285,"00°21'05.800""","-51°50'16.300"""
286,"-19°10'26.511""","-57°38'22.230"""
287,"-19°56'03.000""","-44°28'17.000"""
288,"02°17'09.000""","-51°38'00.000"""
289,"-20°05'30.600""","-44°05'60.000"""
290,"-20°10'09.300""","-44°27'03.170"""
291,"01°00'07.100""","-51°07'44.000"""
292,"-23°47'06.400""","-46°41'48.400"""
293,"-16°18'26.715""","-56°45'04.924"""
294,"-23°23'42.700""","-46°12'20.400"""
295,"-19°49'15.700""","-46°50'30.500"""
296,"-15°56'52.860""","-56°16'36.911"""
297,"-20°13'15.096""","-43°54'30.082"""
298,"-14°15'09.748""","-49°23'20.385"""
299,"-21°25'58.030""","-47°36'47.670"""
300,"-00°43'56.233""","-60°04'08.396"""
301,"-00°53'51.400""","-52°26'30.500"""
302,"-06°02'48.556""","-50°08'34.509"""
303,"-23°07'13.700""","-48°13'41.000"""
304,"-19°51'53.770""","-44°05'35.104"""
305,"-29°20'48.000""","-51°11'30.000"""
306,"-20°17'34.470""","-43°56'19.060"""
307,"-20°07'23.117""","-44°06'23.291"""
308,"-20°08'18.900""","-44°24'02.700"""
309,"-01°41'16.000""","-56°28'21.000"""
310,"-20°26'11.430""","-43°52'18.450"""
311,"-05°30'45.000""","-50°13'21.000"""
312,"-09°51'19.593""","-39°51'50.354"""
313,"-15°45'35.820""","-56°10'11.670"""
314,"-15°48'41.050""","-56°23'24.690"""
315,"-18°06'19.130""","-47°46'47.160"""
316,"-18°08'30.000""","-47°48'41.000"""
317,"-17°10'20.400""","-46°53'00.000"""
318,"-20°27'23.300""","-43°53'40.100"""
319,"-20°07'27.890""","-44°24'00.660"""
320,"-11°38'50.700""","-47°40'36.240"""
321,"-20°08'21.443""","-43°24'44.399"""
322,"-01°40'57.700""","-56°26'07.500"""
323,"-19°24'38.340""","-47°57'20.460"""
324,"-18°16'56.035""","-46°51'40.773"""
325,"-20°08'59.100""","-43°57'52.500"""
326,"-20°09'42.700""","-44°00'22.400"""
327,"-06°21'49.800""","-56°16'09.250"""
328,"-06°04'41.300""","-50°17'29.300"""
329,"-19°24'38.870""","-47°57'22.630"""
330,"-20°10'11.676""","-43°29'45.981"""
331,"-23°23'49.600""","-46°12'18.200"""
332,"-06°33'31.456""","-51°10'40.184"""
333,"-23°46'58.500""","-46°41'55.700"""
334,"-19°32'59.900""","-43°01'20.100"""
335,"-20°09'31.827""","-43°50'34.785"""
336,"-20°27'05.947""","-43°54'23.637"""
337,"-19°11'26.914""","-57°37'00.111"""
338,"-19°47'05.000""","-43°11'31.300"""
339,"-23°39'35.000""","-45°31'16.000"""
340,"-05°46'40.800""","-50°31'22.500"""
341,"-20°07'34.500""","-44°24'48.600"""
342,"-20°06'43.300""","-44°13'12.700"""
343,"-19°50'32.900""","-46°51'51.300"""
344,"-24°41'35.000""","-48°07'13.000"""
345,"-20°20'41.300""","-42°33'42.800"""
346,"-20°16'42.200""","-43°55'51.100"""
347,"-19°15'55.000""","-57°31'35.800"""
348,"-02°29'12.100""","-56°10'41.300"""
349,"-06°14'10.040""","-49°45'59.230"""
350,"-14°50'09.557""","-59°40'08.728"""
351,"-17°08'46.800""","-46°51'22.800"""
352,"-28°29'38.900""","-49°27'36.100"""
353,"-16°11'25.864""","-56°24'47.168"""
354,"-09°12'57.800""","-63°04'33.600"""
355,"-06°34'49.300""","-51°10'27.000"""
356,"-09°51'22.936""","-39°51'53.774"""
357,"-15°46'20.000""","-48°38'17.000"""
358,"-28°44'18.600""","-49°25'33.200"""
359,"-20°22'19.041""","-42°21'17.308"""
360,"-06°33'21.445""","-51°10'24.538"""
361,"-18°06'45.300""","-47°47'04.100"""
362,"-23°00'29.728""","-47°28'56.567"""
363,"-21°59'46.200""","-47°10'04.100"""
364,"-19°47'09.952""","-43°10'22.069"""
365,"-19°56'05.733""","-43°38'56.601"""
366,"-20°25'33.600""","-43°53'09.500"""
367,"-19°36'39.621""","-47°00'46.252"""
368,"-16°03'46.540""","-56°33'42.940"""
369,"-05°47'55.485""","-50°30'11.109"""
370,"-19°24'38.340""","-47°57'20.460"""
371,"-19°51'50.917""","-43°21'21.130"""
372,"-15°52'28.649""","-56°09'59.637"""
373,"-16°16'46.881""","-56°38'50.914"""
374,"-20°07'11.260""","-44°23'07.880"""
375,"-00°44'35.500""","-60°12'05.100"""
376,"-16°14'28.910""","-56°36'17.520"""
377,"-20°07'44.700""","-44°25'12.700"""
378,"-02°29'47.800""","-56°10'25.700"""
379,"-16°12'27.500""","-39°56'49.000"""
380,"-20°11'04.315""","-43°26'15.409"""
381,"-19°39'35.000""","-46°55'37.000"""
382,"-09°51'13.533""","-39°51'41.922"""
383,"-20°22'50.400""","-43°55'03.030"""
384,"-01°41'34.600""","-56°28'02.300"""
385,"-06°25'44.792""","-50°04'12.554"""
386,"-19°15'52.800""","-57°31'37.400"""
387,"-19°53'02.310""","-43°23'08.448"""
388,"-11°18'48.229""","-59°05'10.553"""
389,"-06°05'11.929""","-49°39'08.247"""
390,"-20°22'41.120""","-43°54'55.540"""
391,"-15°07'56.600""","-59°22'39.100"""
392,"-11°09'42.300""","-62°25'02.700"""
393,"-15°33'42.540""","-55°49'21.340"""
394,"-16°00'19.890""","-56°13'41.450"""
395,"-20°07'25.280""","-44°22'31.860"""
396,"-19°34'21.721""","-43°11'51.131"""
397,"-12°48'15.200""","-60°21'54.400"""
398,"-01°40'57.500""","-56°27'47.800"""
399,"-20°22'39.730""","-43°54'54.340"""
400,"-09°35'10.710""","-62°51'51.450"""
401,"-06°05'58.000""","-50°09'45.000"""
402,"-24°43'00.000""","-48°06'00.000"""
403,"-12°51'24.400""","-38°24'15.900"""
404,"-19°10'21.120""","-57°38'14.740"""
405,"-19°36'26.409""","-43°15'26.118"""
406,"02°16'43.000""","-51°39'02.380"""
407,"-09°51'43.578""","-39°52'49.792"""
