,ano,mes,valor,substancia,uf
439,2020,7,368240.250000000000000000,FERRO,MA
440,2020,8,2.066375000000000000,FERRO,CE
441,2020,4,2356.192900000000000000,FERRO,MS
442,2020,12,22183972.000000000000000000,FERRO,MG
443,2020,11,37805.500000000000000000,FERRO,RJ
444,2020,9,1255288.600000000000000000,FERRO,MS
445,2020,11,324387.100000000000000000,FERRO,MA
446,2020,3,2473.616500000000000000,FERRO,MS
447,2020,7,4520.497000000000000000,FERRO,RJ
448,2020,11,271957.120000000000000000,FERRO,BA
449,2020,8,134216.000000000000000000,FERRO,RJ
450,2020,7,20207.031000000000000000,FERRO,MG
451,2020,3,2661.430700000000000000,FERRO,RJ
452,2020,3,4474.776000000000000000,FERRO,MG
453,2020,2,685539.800000000000000000,FERRO,RJ
454,2020,3,216875.980000000000000000,FERRO,MG
455,2020,7,9466.732000000000000000,FERRO,MG
456,2020,9,75270.445000000000000000,FERRO,MG
457,2020,6,45919.902000000000000000,FERRO,MG
458,2020,7,72451.914000000000000000,FERRO,MG
459,2020,12,537011.940000000000000000,FERRO,MG
460,2020,6,1.756457000000000000,FERRO,CE
461,2020,2,1028.620800000000000000,FERRO,MG
462,2020,7,7.510521000000000000,FERRO,RJ
463,2020,11,3156149.800000000000000000,FERRO,PA
464,2020,11,90067.050000000000000000,FERRO,GO
465,2020,10,955868.300000000000000000,FERRO,MA
466,2020,12,542162.750000000000000000,FERRO,MG
467,2020,2,103869.164000000000000000,FERRO,ES
468,2020,4,1121.721800000000000000,FERRO,MG
469,2020,11,128420.480000000000000000,FERRO,RJ
470,2020,7,2242.611000000000000000,FERRO,RJ
471,2020,3,115216.530000000000000000,FERRO,ES
472,2020,2,28455.678000000000000000,FERRO,MG
473,2020,2,11310.007000000000000000,FERRO,MG
474,2020,9,80654.914000000000000000,FERRO,CE
475,2020,3,66568.740000000000000000,FERRO,RJ
476,2020,1,145895.360000000000000000,FERRO,MA
477,2020,2,48150.330000000000000000,FERRO,ES
478,2020,11,168804.830000000000000000,FERRO,MA
479,2020,8,0.280801000000000000,FERRO,PR
480,2020,5,1064458.600000000000000000,FERRO,MA
481,2020,12,157568.880000000000000000,FERRO,MG
482,2020,12,1434570.100000000000000000,FERRO,MA
483,2020,1,0.713268000000000000,FERRO,SP
484,2020,1,103589.610000000000000000,FERRO,MG
485,2020,8,7420.634300000000000000,FERRO,RJ
486,2020,8,151501.170000000000000000,FERRO,ES
487,2020,10,18430.863000000000000000,FERRO,ES
488,2020,2,111028.170000000000000000,FERRO,RJ
489,2020,6,128459.460000000000000000,FERRO,MA
490,2020,2,855793.700000000000000000,FERRO,MA
491,2020,10,291283.470000000000000000,FERRO,MA
492,2020,7,156148.190000000000000000,FERRO,AL
493,2020,12,299970.500000000000000000,FERRO,MG
494,2020,12,1121759.600000000000000000,FERRO,CE
495,2020,2,286696.400000000000000000,FERRO,MG
496,2020,10,92439.390000000000000000,FERRO,MG
497,2020,2,253669.560000000000000000,FERRO,MA
498,2020,7,596703.200000000000000000,FERRO,PA
499,2020,10,465619.970000000000000000,FERRO,RJ
500,2020,12,1002322.300000000000000000,FERRO,MA
501,2020,10,88742.164000000000000000,FERRO,MG
502,2020,9,98627.250000000000000000,FERRO,ES
503,2020,10,4.888579000000000000,FERRO,MG
504,2020,7,117634.270000000000000000,FERRO,ES
505,2020,11,611.372100000000000000,FERRO,MS
506,2020,2,89935.380000000000000000,FERRO,RJ
507,2020,10,97646.850000000000000000,FERRO,RJ
508,2020,4,226592.640000000000000000,FERRO,MA
509,2020,6,0.900681000000000000,FERRO,CE
510,2020,8,699.833900000000000000,FERRO,RJ
511,2020,12,111.791990000000000000,FERRO,MG
512,2020,7,28281.262000000000000000,FERRO,PB
513,2020,2,195436.920000000000000000,FERRO,MA
514,2020,12,73.601814000000000000,FERRO,MG
515,2020,12,93412.140000000000000000,FERRO,MG
516,2020,9,495.706940000000000000,FERRO,MG
517,2020,11,6763.717300000000000000,FERRO,MG
518,2020,5,42972.062000000000000000,FERRO,MG
519,2020,10,1090849.100000000000000000,FERRO,MT
520,2020,12,29.259075000000000000,FERRO,RJ
521,2020,9,127688.320000000000000000,FERRO,MG
522,2020,11,241017.520000000000000000,FERRO,MG
523,2020,2,184970.420000000000000000,FERRO,MG
524,2020,7,29810.182000000000000000,FERRO,MS
525,2020,10,12495277.000000000000000000,FERRO,MG
526,2020,6,1249856.500000000000000000,FERRO,PA
527,2020,4,167046.810000000000000000,FERRO,MG
528,2020,11,275311.970000000000000000,FERRO,RJ
529,2020,8,68541.630000000000000000,FERRO,RJ
530,2020,11,445187.340000000000000000,FERRO,RJ
531,2020,11,71.369230000000000000,FERRO,MG
532,2020,2,79133.266000000000000000,FERRO,MA
533,2020,4,576024.440000000000000000,FERRO,RJ
534,2020,7,553899.500000000000000000,FERRO,MA
535,2020,5,1.522998000000000000,FERRO,RS
536,2020,7,65074.100000000000000000,FERRO,MG
537,2020,6,108086.990000000000000000,FERRO,MG
538,2020,1,12497.544000000000000000,FERRO,MG
539,2020,6,99583.340000000000000000,FERRO,RJ
540,2020,11,57453.040000000000000000,FERRO,AL
541,2020,11,285995.660000000000000000,FERRO,MA
542,2020,1,77943.160000000000000000,FERRO,RJ
543,2020,12,407755.200000000000000000,FERRO,MG
544,2020,12,536984.500000000000000000,FERRO,MG
545,2020,9,5064.498000000000000000,FERRO,MG
546,2020,4,156843.620000000000000000,FERRO,MG
547,2020,9,73653.030000000000000000,FERRO,MG
548,2020,11,524640.200000000000000000,FERRO,MA
549,2020,7,1832.641500000000000000,FERRO,MG
550,2020,5,37581300.000000000000000000,FERRO,PA
551,2020,12,29.858800000000000000,FERRO,MG
552,2020,7,12.347456000000000000,FERRO,SP
553,2020,5,94053.170000000000000000,FERRO,MG
554,2020,5,87481.625000000000000000,FERRO,RJ
